Date,AIG,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-03-17,259.687256,3.374744,0.471276,9.603668,2.435599,1.042361,5.02901,4.271977,1.636923,6.823636,7.409923,2.01039,4.30421,3.731607,4.504725,7.536585,9.943441,6.767272,1.960475,0.157782,0.951302,4.8239,7.819904,2.495271,1.418202,5.575429,11.054084,10.340933,3.942737,5.083681,13.958133,0.875378,48.651447,0.938048,8.976836,14.524894
1993-03-18,262.584351,3.420766,0.465933,9.638586,2.446143,1.028237,5.052845,4.321941,1.660407,6.87684,7.426916,2.02791,4.290884,3.753495,4.477912,7.626305,10.069449,6.721078,1.957604,0.160655,0.967599,4.8239,7.905435,2.50182,1.399342,5.588578,11.219691,10.485766,3.980649,5.092505,13.989849,0.922542,49.04274,0.936223,9.126729,14.552992
1993-03-19,263.637848,3.466782,0.459521,9.673512,2.446143,1.009875,5.068732,4.305286,1.665105,6.87684,7.30795,1.992869,4.184278,3.709724,4.410874,7.680135,10.03508,6.674882,1.934642,0.159349,0.957413,4.800931,7.880999,2.397032,1.410657,5.588578,10.97128,10.369897,3.961693,5.092505,13.894688,0.911955,47.086246,0.936223,9.060109,14.637261
1993-03-22,259.160492,3.466782,0.455246,9.638586,2.467232,0.97174,5.084625,4.321941,1.669802,6.783731,7.290955,1.97973,4.210929,3.676893,4.437689,7.626305,10.103814,6.605597,1.914549,0.1617,0.941117,4.754989,7.819904,2.357737,1.425745,5.641179,10.929883,10.283,3.93326,5.118983,13.894688,0.88322,47.347118,0.923448,9.043454,14.777744
1993-03-23,258.633759,3.543483,0.450972,9.883046,2.504136,0.943492,5.076679,4.305286,1.65571,6.677321,7.375934,1.97097,4.330861,3.633121,4.370656,7.608359,10.092356,6.836563,1.908808,0.160394,0.971673,4.686077,7.709941,2.455976,1.410657,5.654326,10.847076,10.196106,3.942737,5.171938,13.680554,0.902881,46.825382,0.925274,9.176694,14.721558
1993-03-24,262.320984,3.405422,0.459521,9.708433,2.514678,0.937842,5.195851,4.330268,1.68859,6.517702,6.951052,2.00163,4.210929,3.665951,4.276804,7.518639,10.046536,6.420823,1.980568,0.162484,0.939081,4.62865,7.783256,2.390483,1.406886,5.720077,10.805679,10.109204,3.942737,5.207239,13.59332,0.880195,48.390591,0.914323,9.143384,14.721558
1993-03-25,262.847748,3.451444,0.46807,9.883046,2.514678,1.016937,5.148183,4.371907,1.693288,6.743826,6.866075,2.02134,4.370837,3.731607,4.290213,7.59042,10.012172,6.5594,2.006402,0.164312,0.971673,4.605679,7.990939,2.442877,1.448376,5.733228,11.012688,10.167138,4.046993,5.260195,13.561592,0.901369,48.260136,0.897898,9.126729,14.665359
1993-03-26,264.427979,3.405422,0.455246,9.77828,2.509406,1.022587,5.116401,4.346923,1.686242,6.677321,6.98504,1.999439,4.210929,3.644063,4.357247,7.644253,10.03508,6.282246,1.98918,0.159349,0.951302,4.536765,8.117579,2.475249,1.421974,5.733228,10.888482,10.225072,3.958374,5.348455,13.482287,0.886245,48.912292,0.905198,9.043454,14.41251
1993-03-29,268.115234,3.481157,0.436011,9.883046,2.541039,0.994339,5.195851,4.413543,1.695636,6.743826,7.036029,2.00163,4.264233,3.665951,4.410874,7.716029,10.080902,6.374632,1.997789,0.159349,0.977784,4.54825,8.256885,2.574523,1.437061,5.746374,11.012688,10.109204,3.909141,5.383758,13.395045,0.89532,48.651447,0.908848,8.926875,14.187753
1993-03-30,265.218109,3.528844,0.446697,9.952887,2.541039,0.988689,5.25146,4.430197,1.707378,6.637414,6.798095,2.02353,4.477442,3.764438,4.370656,7.644253,10.115273,6.628691,2.089643,0.160655,1.024637,4.571222,8.155569,2.673798,1.437061,5.785824,10.308869,10.225072,4.017455,5.427885,12.982651,0.916492,48.781872,0.934398,8.926875,14.215845
1993-03-31,269.168732,3.449367,0.440285,9.77828,2.493591,1.011288,5.283241,4.405217,1.674499,6.730524,6.917063,2.014771,4.544072,3.731607,4.438361,7.59042,10.03508,6.536304,2.124087,0.160133,1.014451,4.582708,8.05426,2.726744,1.425745,5.891021,10.515871,10.311972,4.037151,5.516143,12.752653,0.92103,48.129715,0.934398,8.876908,14.047284
1993-04-01,270.748962,3.497053,0.442423,9.74336,2.493591,0.999989,5.195851,4.363579,1.683893,6.637414,7.053017,1.953451,4.344186,3.753495,4.479584,7.680135,10.03508,6.351535,2.135569,0.158043,0.996117,4.582708,8.117579,2.614233,1.421974,5.877872,10.308869,10.311972,3.978069,5.498491,12.800238,0.91498,46.694935,0.936223,8.893562,14.272038
1993-04-02,268.378601,3.43347,0.42853,9.638586,2.46196,0.957616,5.148183,4.405217,1.67215,6.437895,7.154993,1.883371,4.277558,3.676893,4.273468,7.554528,9.989261,6.282246,2.060939,0.154908,0.95945,4.467853,8.079585,2.574523,1.406886,5.836263,10.101863,10.167138,3.978069,5.610203,12.752653,0.88322,47.086246,0.720874,8.693705,14.047284
1993-04-05,268.378601,3.576532,0.427461,9.74336,2.451416,0.968915,5.307077,4.463505,1.681544,6.30488,7.154993,1.929361,4.410816,3.589349,4.383397,7.393032,10.069449,6.305341,2.101124,0.153602,0.961488,4.352997,8.079585,2.594378,1.429517,5.849772,9.853455,9.86221,4.017455,5.665298,12.601969,0.881708,46.825382,0.728174,8.660404,14.159662
1993-04-06,266.534973,3.576532,0.416775,9.8132,2.483047,0.97174,5.370634,4.505146,1.716772,5.919136,7.07002,1.953451,4.264233,3.501803,4.314691,7.303311,10.149638,6.259147,2.060939,0.145765,0.939081,4.295571,8.092252,2.54805,1.444604,5.95785,9.191038,9.891301,3.958374,5.729573,12.403702,0.880195,46.173203,0.702624,8.427234,14.272038
1993-04-07,269.432098,3.656009,0.431736,10.127503,2.514678,1.011288,5.386523,4.546783,1.723818,6.171866,7.104008,1.99725,4.237577,3.45803,4.424618,7.23153,10.195459,6.259147,2.072421,0.15099,0.95334,4.284085,8.028934,2.574523,1.471007,5.930832,9.191038,9.658567,3.978069,5.656116,12.340251,0.892295,47.738411,0.689849,8.610433,14.019182
1993-04-08,270.222229,3.656009,0.425324,10.092583,2.51995,0.985865,5.394469,4.530127,1.728515,6.158561,6.832084,1.97973,4.104323,3.479916,4.424618,7.249477,10.161092,6.120568,2.043716,0.149422,0.957413,4.295571,8.066922,2.468629,1.437061,5.876792,9.563646,9.484015,3.978069,5.619385,11.943715,0.902881,47.477551,0.675249,8.660404,14.047284
1993-04-12,270.748962,3.719593,0.427461,10.267189,2.556853,0.988689,5.394469,4.580091,1.752001,6.225072,6.934057,2.058569,4.264233,3.447084,4.658216,7.357141,10.092356,6.328438,2.069549,0.153602,1.000192,4.341514,8.092252,2.541431,1.471007,5.903815,9.93626,9.745842,3.96822,5.729573,12.205434,0.91498,48.651447,0.693499,8.727017,13.963001
1993-04-13,271.01236,3.735488,0.414638,10.267189,2.57794,1.025412,5.386523,4.563437,1.749652,6.331479,6.71312,1.973161,4.197604,3.425201,4.768146,7.303311,10.149638,6.259147,2.040846,0.156475,0.985933,4.421912,8.079585,2.567906,1.493638,5.876792,9.60505,9.86221,3.928834,5.711207,12.340251,0.902881,51.129646,0.702624,8.926875,14.047284
1993-04-14,275.226349,3.735488,0.416775,10.267189,2.567397,1.033886,5.410357,4.571764,1.773137,6.065454,6.662131,1.975351,4.184278,3.49086,4.69944,7.14181,10.390203,6.236048,2.043716,0.153602,0.990007,4.433396,8.066922,2.481866,1.486094,5.863283,9.025433,9.658567,3.918985,5.766299,12.371978,0.901369,52.042694,0.708099,9.026802,14.187753
